user_id,steamid,profilestate,personaname,avatarfull,personastate,realname,primaryclanid,timecreated,loccountrycode,locstatecode
User1731,76561198246238004,1.0,Lupo,https://avatars.steamstatic.com/8a19d5256555b1cb114d17b002b0389ec5ef7d5f_full.jpg,1.0,Karina LesProux,1.0358279143018787e+17,1440316308.0,FR,
User1732,76561198248376558,1.0,๖ۣۜTommy Shelby,https://avatars.steamstatic.com/effc2705ae100af0a26ba3232b18c67275617f5e_full.jpg,0.0,,1.035827914295214e+17,1441281218.0,RU,48
User1733,76561198256256409,1.0,Butcher Da Freak,https://avatars.steamstatic.com/3a8031b44df843ed7861f13457a77c457a0d9d8e_full.jpg,0.0,,1.0358279146115922e+17,1445355983.0,GB,I2
User1734,76561198256406444,1.0,Manhvippro123,https://avatars.steamstatic.com/b001ee4bb2ec5bbcb31b501719a2b3b7a51a055b_full.jpg,0.0,Trần Công Lượng,1.0358279145828779e+17,1445508956.0,VN,52
User1735,76561198257366151,1.0,Blyatman,https://avatars.steamstatic.com/c97a6a75482c5c0f777c1ff3c8bccc2f3d5cf4f7_full.jpg,0.0,,,,,
User1736,76561198257366169,1.0,Gabens Son,https://avatars.steamstatic.com/8b84eba59460e9601867964a91aaf927d3b3bcaa_full.jpg,0.0,,1.0358279145639414e+17,1445962257.0,VN,51
User1737,76561198260922174,1.0,Jyugo,https://avatars.steamstatic.com/439aa0085d342df570b5ba9258edb08241cef4d8_full.jpg,0.0,Cường,1.03582791435543e+17,1447743770.0,,
User1738,76561198262631834,1.0,Em trai AlaF,https://avatars.steamstatic.com/d616d2902f3fef2cb002db8b1429fce93c7c86d7_full.jpg,0.0,Marcus de Rohan,1.0358279145591957e+17,1448602559.0,,
User1739,76561198262860648,1.0,Ng0 B Kha,https://avatars.steamstatic.com/b21cf5ab9f7c12719016237be1b1a592a61b0a7c_full.jpg,0.0,Kha' B@nh?,1.0358279145469629e+17,1448672581.0,NZ,
User1740,76561198262924726,1.0,PandaBanana,https://avatars.steamstatic.com/807a06d3a8d097d9b1cf8ccc8d199cc4fbea5ce6_full.jpg,0.0,,1.035827914295214e+17,1448690563.0,,
User1741,76561198266572397,1.0,Leonardo da Vinci,https://avatars.steamstatic.com/1cb2430b26d553138dd71624d69ac621152ecdb4_full.jpg,0.0,DUY QUANG,1.0358279143426293e+17,1449638722.0,VN,51
User1742,76561198272120086,1.0,moothie,https://avatars.steamstatic.com/9b9cdbc7ad849a83ffd8283efef6e9104d8190af_full.jpg,0.0,Cuộc đời là một giấc mơ~,1.0358279145717616e+17,1451108014.0,,
User1743,76561198273861541,1.0,bá vô mà núc,https://avatars.steamstatic.com/40f14705ee2f36e993cd16f97bd1406ee08e3132_full.jpg,0.0,Du Lee,1.0358279145667003e+17,1451655461.0,GB,H8
User1744,76561198279036425,1.0,Sunraku,https://avatars.steamstatic.com/d22f934df67e04c331153e11ff028e5e192d1ec3_full.jpg,0.0,Imphetamin,1.0358279146359069e+17,1453687831.0,VN,
User1745,76561198279080738,1.0,len xe lay bich fe,https://avatars.steamstatic.com/ddcbbeceb124b76bcf1b7681e108a73eefdc3255_full.jpg,1.0,,1.0358279146274952e+17,1453734762.0,CN,23
User1746,76561198280430766,1.0,datZzSUPERFAST,https://avatars.steamstatic.com/5ca5044fd099124f99c6a9bb40c865ed345bf2af_full.jpg,0.0,Đỗ Tiến Đạt,1.0358279146375896e+17,1454213683.0,VN,51
User1747,76561198281519240,1.0,noobexe,https://avatars.steamstatic.com/82e25777fbfbd4497253001487eb06b4b4ade366_full.jpg,0.0,Kid,1.0358279146344491e+17,1454660038.0,NR,01
User1748,76561198283506332,1.0,Brick,https://avatars.steamstatic.com/61c6cb24afd876e64f6843371ee513a69cdfb874_full.jpg,0.0,,1.035827914295214e+17,1455114584.0,,
User1749,"76561198285158869,3.0,1.0,fancy,1.0,https://steamcommunity.com/id/02isdabest/,https://avatars.steamstatic.com/afcb37d5244ed56353c8dd28ac3612a4416c2977_full.jpg,0.0,""2004 February,2nd"",103582791440061257,1455970620.0,0.0,KR,,,,,,,,",,,,,,,,,
User1750,76561198291686214,1.0,Lamabeso,https://avatars.steamstatic.com/34adcd2a2c63e40ce323f872f4781ef5ee322413_full.jpg,0.0,,1.035827914295214e+17,1457761533.0,VN,51
User1751,76561198292096682,1.0,Raph,https://avatars.steamstatic.com/56763168f8e4912f7c846f59f1324e0f60be059e_full.jpg,0.0,Cao's,1.035827914295216e+17,1458452925.0,US,AZ
User1752,76561198299221724,1.0,NH NuHu,https://avatars.steamstatic.com/b0465823d53406124df0958f3a9aa25885835626_full.jpg,0.0,[Gv].Bean,1.0358279146131234e+17,1461172309.0,,
User1753,76561198299848351,1.0,SorroW,https://avatars.steamstatic.com/02ca8ef400cd1febe2f2419a766602fb1d8e26c7_full.jpg,0.0,Arcadia Bay,1.035827914295214e+17,1461091105.0,US,OR
User1754,76561198309974393,1.0,Celina,https://avatars.steamstatic.com/a69e161e6f635806afe90d947dc0a8d6aeb06abc_full.jpg,0.0,Thọ Nguyễn,1.035827914295214e+17,1464576391.0,VN,51
User1755,76561198310405832,1.0,Miracle,https://avatars.steamstatic.com/879a688433b0f3423e4f2ddd6e907331c9d094f9_full.jpg,0.0,,1.035827914295214e+17,1465654448.0,,
User1756,76561198313063937,1.0,kennyR,https://avatars.steamstatic.com/34e079f09889c49f4fa9096de6b5eefe3331784b_full.jpg,0.0,,1.0358279145624787e+17,1466605554.0,FR,B8
User1757,76561198313594286,1.0,ae 36,https://avatars.steamstatic.com/1eb8d095cf5340aacb647cb5869f4a57cf41e8be_full.jpg,0.0,hic,1.0358279145996085e+17,1466844138.0,CK,
User1758,76561198314304523,1.0,The Snake,https://avatars.steamstatic.com/0f34991c3ecd1ee27e647d437de78fe7c40238f2_full.jpg,0.0,,1.0358279144158578e+17,1467107033.0,UA,01
User1759,76561198314873875,1.0,Minh Vy 3,https://avatars.steamstatic.com/95a5d6293c015a05e62f41e4abe3ff9f127b3cea_full.jpg,0.0,Hơi ngu hơi khờ dễ bị lừa :X,1.035827914295214e+17,1467272037.0,JP,40
User1760,76561198316333426,1.0,Xinhgaichoigamehay,https://avatars.steamstatic.com/50681aeca8e8f409c97b6d55245a00d54f045496_full.jpg,0.0,,1.035827914295214e+17,1468008697.0,JP,40
User1761,76561198317408993,1.0,Cheetah,https://avatars.steamstatic.com/77bc8ecdd432ae4ec6282fb74942ba9be9f755ad_full.jpg,0.0,,,,,
User1762,76561198318862960,1.0,Conquest,https://avatars.steamstatic.com/b26895549ecef44f3013aed417d3a3b3083ec808_full.jpg,0.0,From Vitrumite,1.0358279144111182e+17,1468488408.0,JP,40
User1763,76561198318945595,1.0,icytop555,https://avatars.steamstatic.com/6895861e0da2447f58fd4b069b8e7ca9d059bb2a_full.jpg,0.0,,1.0358279145714392e+17,1468491892.0,,
User1764,76561198326969807,1.0,Sadge,https://avatars.steamstatic.com/75c82193c30ae631a6d87a9ad3dd80f0b8f5e023_full.jpg,0.0,,1.035827914295214e+17,1472355933.0,NE,
