source,target,weight
76561198307217312,76561198352314192,1.0
76561198277426960,76561198292437920,1.0
76561198084560512,76561198136351456,1.0
76561197994419072,76561198398353984,1.0
76561198092107152,76561198354414704,1.0
76561198055997984,76561198069222496,1.0
76561198346202880,76561198392950480,1.0
76561198037085952,76561198078881344,1.0
76561198156735040,76561198819814272,1.0
76561198078166112,76561198085405952,1.0
76561198143589024,76561198153090384,1.0
76561198047909248,76561198304572048,1.0
76561198047266336,76561198296546160,1.0
76561198107559024,76561198138721232,1.0
76561198047676496,76561198143631584,1.0
76561198164681760,76561198178188496,1.0
76561198002106720,76561198032850192,1.0
76561198114794496,76561198274397856,1.0
76561198254711472,76561198284528352,1.0
76561198071033808,76561198242138176,1.0
76561198040533344,76561198124260928,1.0
76561197971623584,76561198028855328,1.0
76561198095958016,76561198158060576,1.0
76561198005994544,76561198100571200,1.0
76561198277462288,76561198862545040,1.0
76561198128012064,76561198132095888,1.0
76561198151100112,76561198225552704,1.0
76561198179724192,76561198209415232,1.0
76561198112155440,76561198196418096,1.0
76561198081924544,76561198299665200,1.0
76561197991333408,76561198073061248,1.0
76561197996423856,76561198032543424,1.0
76561198220496544,76561198240788592,1.0
76561198103677536,76561198419617152,1.0
76561197996800224,76561198065188016,1.0
76561198034450400,76561198044634640,1.0
76561198039568976,76561198266303296,1.0
76561197996800224,76561198178188496,1.0
76561198098028144,76561198262217104,1.0
